id,title,all_artists,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,speechiness
7sWRlDoTDX8geTR8zzr2vt,Hollywood's Bleeding,Post Malone,2019-09-06,0.405,0.646,4,-3.206,0,0.331,0.0,0.103,0.17,130.218,156267,4,0.0476
05mDaV9Vb3wrzjF6OPZnhq,Saint-Tropez,Post Malone,2019-09-06,0.617,0.684,0,-3.618,1,0.0545,0.0,0.104,0.295,132.113,150867,4,0.0439
0Xek5rqai2jcOWCYWJfVCF,Enemies (feat. DaBaby),DaBaby,2019-09-06,0.542,0.674,6,-4.169,1,0.0588,0.0,0.0955,0.667,76.388,196760,4,0.21
2C6WXnmZ66tHhHlnvwePiK,Die For Me (feat. Future & Halsey),Future,2019-09-06,0.614,0.66,0,-2.848,1,0.19,0.0,0.211,0.452,145.01,245267,4,0.0441
2zRiYzBzeabQQ16BK3c6jk,Heaven In Hiding,Halsey,2017-06-02,0.55,0.874,1,-3.954,0,0.0957,0.0,0.0618,0.476,117.926,207174,4,0.136
7i2DJ88J7jQ8K7zqFX2fW8,Now Or Never,Halsey,2017-06-02,0.67,0.585,6,-4.861,0,0.107,1.11e-06,0.131,0.447,110.03,214802,4,0.0354
4vTsOYAocjaslUONkx2YS3,Angel On Fire,Halsey,2017-06-02,0.505,0.697,4,-5.479,0,0.254,0.0,0.158,0.208,96.938,194904,4,0.0406
0STK94RxUulYqWzwFlyAb5,Sober,Demi Lovato,2018-06-21,0.397,0.303,1,-10.413,1,0.798,4.16e-06,0.0824,0.17,170.22,197893,3,0.11
56TOfxnRzSRbFRw8J6C4IT,Suicidal Thoughts,iamjakehill,2017-10-19,0.372,0.656,1,-6.086,1,0.217,0.0,0.418,0.15,140.171,181728,4,0.0776
6akBF8JWM8lrpqejdwIfYI,16 Lines,Lil Peep,2018-11-09,0.607,0.45,0,-8.507,1,0.0663,1.12e-05,0.107,0.121,105.992,244907,4,0.0338
0fWyDYARNbNd0zaa5bsQIY,end (stripped.),Jeremy Zucker,2018-02-02,0.53,0.173,11,-12.637,0,0.921,5.12e-06,0.125,0.198,79.779,234627,4,0.0702
4VuS959DSpr82t3qBqCrWG,Supermarket Flowers,Ed Sheeran,2017-03-03,0.589,0.242,6,-10.517,1,0.914,0.0,0.0887,0.257,89.749,221107,4,0.0442
